X,Y,I,O
40.72740794,-73.98142006,6383,8155
40.74487634,-73.99529885,6743,6764
40.76370739,-73.9851615,5186,5189
40.75660359,-73.9979009,4704,4665
40.76227205,-73.98788205,6371,6386
40.74475148,-73.99915362,8705,8764
40.75455731,-73.96592976,2678,2691
40.75001986,-73.96905301,3434,3390
40.7597108,-73.97402311,6926,7315
40.76695317,-73.98169333,7771,7685
40.751396,-74.005226,6950,7302
40.746745,-74.007756,8863,9106
40.71285887,-73.96590294,4837,4944
40.73587678,-73.98205027,5376,5347
40.74691959,-74.00451887,7078,7194
40.75513557,-73.98658032,7784,7794
40.74395411,-73.99144871,5913,5968
40.68312489,-73.97895137,2860,2969
40.7652654,-73.98192338,5509,5543
40.76344058,-73.98268129,6397,5059
40.71286844,-73.95698119,2046,2073
40.7457121,-73.98194829,7706,7709
40.72110063,-73.9919254,3216,3328
40.7451677,-73.98683077,6014,5932
40.74394314,-73.97966069,4748,4709
40.75640548,-73.9900262,10108,10155
40.76030096,-73.99884222,5230,5254
40.76019252,-73.9912551,6648,6671
40.76669671,-73.99061728,4122,4135
40.71260486,-73.96264403,2681,2506
40.73935542,-73.99931783,7416,7452
40.73223272,-73.98889957,5733,5761
40.75500254,-73.98014437,812,819
40.75038009,-73.98338988,1242,1178
40.7462009,-73.98855723,5952,5918
40.73314259,-73.97573881,5341,4881
40.751551,-73.993934,10302,10214
40.74096374,-73.98602213,6196,6208
40.75019995,-73.99093085,9349,9727
40.74734825,-73.99723551,7044,7088
40.76269882,-73.99301222,4569,4590
40.73726186,-73.99238967,6104,6231
40.73704984,-73.99009296,11860,12011
40.74854862,-73.98808416,6986,6957
40.76915505,-73.98191841,9151,9053
40.76228826,-73.98336183,3984,4655
40.744219,-73.97121214,5311,5365
40.714215,-73.981346,3302,3274
40.73827428,-73.98751968,5129,5160
40.73221853,-73.98165557,6790,6976
40.74901271,-73.98848395,8952,8952
40.73912601,-73.97973776,5215,5170
40.76341379,-73.99667444,4490,4506
40.7454973,-74.00197139,7229,7328
40.768254,-73.988639,3100,3109
40.76087502,-74.00277668,11159,11349
40.76009437,-73.99461843,4821,4836
40.75206862,-73.96784384,2144,2172
40.751581,-73.97791,6586,6383
40.74780373,-73.9734419,5753,5720
40.751873,-73.977706,14048,14055
40.75992262,-73.97648516,992,990
40.75714758,-73.97207836,2441,2467
40.75466591,-73.99138152,3118,3134
40.75527307,-73.98316936,4726,4743
40.75594159,-74.0021163,4719,4718
40.74765947,-73.98490707,608,622
40.744023,-73.976056,2184,2194
40.74290902,-73.97706058,5731,5635
40.7575699,-73.99098507,5106,5105
40.771522,-73.990541,4759,4611
40.71893904,-73.99266288,5581,5564
40.710451,-73.960876,4619,4415
40.75299641,-73.98721619,4654,4638
40.70255065,-74.0127234,2595,2621
40.74144387,-73.97536082,4583,4592
40.74025878,-73.98409214,6170,6174
40.71534825,-73.96024116,4712,4850
40.74311555,-73.98215353,5635,5647
40.736502,-73.97809472,5476,5475
40.74444921,-73.98303529,2547,2555
40.70255088,-73.98940236,3772,3945
40.699773,-73.979927,647,704
40.716887,-73.963198,4056,4181
40.73381219,-73.98054421,4817,4774
40.70531194,-73.97100056,139,164
40.76590936,-73.97634151,10626,10661
40.70569254,-74.01677685,6674,6644
40.71117444,-73.99682619,2489,2483
40.72165481,-74.00234737,3913,3936
40.739445,-73.976806,3319,3347
40.75929124,-73.98859651,4861,4857
40.759107,-73.959223,1231,1246
40.75968085,-73.97031366,367,374
40.711512,-74.015756,9858,9879
40.72036775,-73.96165073,5537,5943
40.66290777,-73.999722,1,1
40.67890679,-73.94142771,726,709
40.6794268,-73.9298911,792,790
40.6814598,-73.934903,437,443
